embedding,clustering,k,alpha,mean,std
glove_pretrained,kmeans,10,0.75,0.1019,
glove_pretrained,spectral,2,0.25,0.4232311111111111,0.1962993549081956
glove_pretrained,spectral,2,0.5,0.47802,0.1891968198368134
glove_pretrained,spectral,2,0.75,0.5399288888888889,0.175886269584305
glove_pretrained,spectral,3,0.25,0.25225916666666665,0.1248993911052387
glove_pretrained,spectral,3,0.5,0.30591666666666667,0.13557321091649072
glove_pretrained,spectral,3,0.75,0.37608416666666666,0.13543406346085246
glove_pretrained,spectral,4,0.25,0.16929142857142856,0.08318169898358839
glove_pretrained,spectral,4,0.5,0.20884428571428573,0.10429919738351875
glove_pretrained,spectral,4,0.75,0.27500619047619046,0.12635695511144335
glove_pretrained,spectral,5,0.25,0.13383650793650792,0.06420395055943351
glove_pretrained,spectral,5,0.5,0.16122777777777778,0.07702212766227456
glove_pretrained,spectral,5,0.75,0.24377539682539684,0.11805733881824496
glove_pretrained,spectral,6,0.25,0.10181190476190477,0.05211684976902716
glove_pretrained,spectral,6,0.5,0.13317619047619048,0.06881119098342105
glove_pretrained,spectral,6,0.75,0.21536285714285713,0.0866866664218803
glove_pretrained,spectral,7,0.25,0.07732,0.03975503477442783
