k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 4]",minilm,hdbscan,0.4808,0.4941,0.4181,
2,"[1, 2]",minilm,kmeans,0.8218,0.8192,0.8203,
2,"[1, 2]",minilm,hac,0.7326,0.7255,0.7099,
2,"[1, 2]",minilm,spectral,0.8414,0.8339,0.8365,
2,"[1, 2]",minilm,hdbscan,0.5358,0.5353,0.5251,
2,"[1, 3]",minilm,kmeans,0.7855,0.7674,0.7491,
2,"[1, 3]",minilm,hac,0.7783,0.7401,0.7125,
2,"[1, 3]",minilm,spectral,0.7604,0.7553,0.7569,
2,"[1, 3]",minilm,hdbscan,0.7074,0.5135,0.3876,
2,"[1, 4]",minilm,kmeans,0.8254,0.8551,0.8311,
2,"[1, 4]",minilm,hac,0.8378,0.8535,0.8441,
2,"[1, 4]",minilm,spectral,0.8939,0.8143,0.8373,
2,"[1, 4]",minilm,hdbscan,0.6465,0.6616,0.6332,
2,"[2, 3]",minilm,kmeans,0.4799,0.4816,0.4783,
2,"[2, 3]",minilm,hac,0.4877,0.4923,0.4637,
2,"[2, 3]",minilm,spectral,0.506,0.5061,0.5057,
2,"[2, 3]",minilm,dbscan,0.47,0.4992,0.3817,
2,"[2, 3]",minilm,hdbscan,0.3955,0.4929,0.3807,
2,"[2, 4]",minilm,kmeans,0.8282,0.8421,0.8271,
2,"[2, 4]",minilm,hac,0.7328,0.7392,0.7347,
2,"[2, 4]",minilm,spectral,0.7784,0.7893,0.7795,
2,"[2, 4]",minilm,hdbscan,0.6554,0.6578,0.6349,
2,"[3, 4]",minilm,kmeans,0.7025,0.7405,0.6939,
2,"[3, 4]",minilm,hac,0.6479,0.675,0.6412,
2,"[3, 4]",minilm,spectral,0.6201,0.6248,0.6221,
2,"[3, 4]",minilm,dbscan,0.6508,0.5017,0.2351,
2,"[3, 4]",minilm,hdbscan,0.6371,0.6479,0.6407,
3,"[0, 1, 2]",minilm,kmeans,0.7459,0.7318,0.7368,
3,"[0, 1, 2]",minilm,hac,0.7385,0.6938,0.7003,
3,"[0, 1, 2]",minilm,spectral,0.3954,0.5325,0.4235,
3,"[0, 1, 2]",minilm,dbscan,0.4567,0.3339,0.1841,
3,"[0, 1, 2]",minilm,hdbscan,0.61,0.3494,0.2167,
3,"[0, 1, 3]",minilm,kmeans,0.7274,0.7195,0.7139,
3,"[0, 1, 3]",minilm,hac,0.5889,0.5694,0.5422,
3,"[0, 1, 3]",minilm,spectral,0.4848,0.4451,0.3733,
3,"[0, 1, 3]",minilm,hdbscan,0.7095,0.349,0.2322,
3,"[0, 1, 4]",minilm,kmeans,0.8086,0.8068,0.8009,
3,"[0, 1, 4]",minilm,hac,0.7691,0.7042,0.697,
3,"[0, 1, 4]",minilm,spectral,0.8014,0.7532,0.7531,
3,"[0, 1, 4]",minilm,hdbscan,0.4991,0.3442,0.3025,
3,"[0, 2, 3]",minilm,kmeans,0.4602,0.4443,0.4315,
3,"[0, 2, 3]",minilm,hac,0.4609,0.4355,0.4083,
3,"[0, 2, 3]",minilm,spectral,0.4352,0.445,0.435,
3,"[0, 2, 3]",minilm,hdbscan,0.3469,0.334,0.1916,
