embedding,clustering,k,alpha,mean,std
sbert,hdbscan,2,0.25,0.44626,0.10480754001714021
sbert,hdbscan,2,0.5,0.44626,0.10480754001714021
sbert,hdbscan,2,0.75,0.45614999999999994,0.09284826630344566
sbert,hdbscan,3,0.25,0.2154,0.08722297098050874
sbert,hdbscan,3,0.5,0.2154,0.08722297098050874
sbert,hdbscan,3,0.75,0.236325,0.08319140079759847
sbert,hdbscan,4,0.25,0.1226,0.025173001410241088
sbert,hdbscan,4,0.5,0.1226,0.025173001410241088
sbert,hdbscan,4,0.75,0.1226,0.025173001410241088
sbert,kmeans,2,0.25,0.7657,0.11424523330683574
sbert,kmeans,2,0.5,0.7660899999999999,0.11320789577881335
sbert,kmeans,2,0.75,0.7660899999999999,0.11320789577881335
sbert,kmeans,3,0.25,0.6404,0.10393464827049309
sbert,kmeans,3,0.5,0.6404,0.10393464827049309
sbert,kmeans,3,0.75,0.64423,0.09786619039393646
sbert,kmeans,4,0.25,0.55892,0.08237761831954116
sbert,kmeans,4,0.5,0.5642400000000001,0.07861207286416
sbert,kmeans,4,0.75,0.5722799999999999,0.0705969687734537
sbert,kmeans,5,0.25,0.5079,
sbert,kmeans,5,0.5,0.5079,
sbert,kmeans,5,0.75,0.5268,
sbert,spectral,2,0.25,0.71779,0.12288942138723288
sbert,spectral,2,0.5,0.71779,0.12288942138723288
sbert,spectral,2,0.75,0.7215499999999999,0.11495451515949932
sbert,spectral,3,0.25,0.44934,0.12958478305727103
